druckort,dbsm_count,location,lat,lon
Goupillières,,"Goupillières, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76570, France",49.5832391,0.9794989
Gradisca,,"Gradisca, Spilimbergo, UTI del Tagliamento, Friuli-Venezia Giulia, 33097, Italia",46.0724506,12.9014231
Granada,,"Granada, Comarca de la Vega de Granada, Granada, Andalucía, España",37.1734995,-3.5995337
Grenoble,,"Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, France",45.1875602,5.7357819
Gripsholm,,"Gripsholm, Skogsborg, Slottsbrinken, Mariefred, Strängnäs kommun, Södermanlands län, Sverige",59.2558303,17.21917601419753
Guadalajara,,"Guadalajara, Spanien",40.63280763069521, -3.161413815252045
Haarlem,,"Haarlem, Noord-Holland, Nederland",52.383705750000004,4.643559696559635
Hagenau,9.0,"Haguenau, Haguenau-Wissembourg, Bas-Rhin, Grand Est, France métropolitaine, 67500, France",48.8172236,7.7885978
Hamburg,,"Hamburg, 20095, Deutschland",53.550341,10.000654
Hasselt,,"Hasselt, Limburg, Vlaanderen, België / Belgique / Belgien",50.9303735,5.3378043
Heidelberg,5.0,"Heidelberg, Baden-Württemberg, Deutschland",49.4093582,8.694724
Híjar,,"Híjar, Bajo Martín, Teruel, Aragón, 44530, España",41.1747377,-0.4515985
Huete,,"Huete, Cuenca, Castilla-La Mancha, 16500, España",40.143961,-2.6912644
Jerez,,"Jerez de la Frontera, Campiña de Jerez, Cádiz, Andalucía, España",36.6816936,-6.1377402
Jesi,,"Jesi, Ancona, Marche, 60035, Italia",43.5219801,13.2443764
Ingolstadt,2.0,"Ingolstadt, Bayern, Deutschland",48.7630165,11.4250395
Italien,,Italia,42.6384261,12.674297
Kirchheim,,"Kirchheim, Molsheim, Bas-Rhin, Grand Est, France métropolitaine, 67520, France",48.6102516,7.4966532
Köln,,"Köln, Nordrhein-Westfalen, Deutschland",50.938361,6.959974
Konstantinopel,,"İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34126, Türkiye",41.0096334,28.9651646
Konstanz,,"Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Baden-Württemberg, Deutschland",47.659216,9.1750718
Kopenhagen,,"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark",55.6867243,12.5700724
Kosinj,,"Gornji Kosinj, Općina Perušić, Ličko-senjska županija, Hrvatska",44.716409,15.2753538
Krakau,1.0,"Kraków, powiat wielicki, województwo małopolskie, Polska",50.0469432,19.997153435836697
Kuilenberg,,"Culemborg, Gelderland, Nederland",51.9573504,5.2253042
Kulm,,"Chełmno, gmina Stolno, powiat chełmiński, województwo kujawsko-pomorskie, 86-200, Polska",53.35250284999999,18.440424707276136
Kuttenberg,,"Kutná Hora, okres Kutná Hora, Střední Čechy, Česko",49.9486561,15.2681123
Landshut,,"Landshut, Bayern, Deutschland",48.536217,12.1516551
Lantenac,,"route de l'Antenac, Mayrègne, Saint-Gaudens, Haute-Garonne, Occitanie, France métropolitaine, 31110, France",42.8360763,0.5502912
Lauingen,2.0,"Lauingen (Donau), Landkreis Dillingen an der Donau, Bayern, 89415, Deutschland",48.5710836,10.4305438
Lausanne,,"Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra",46.5218269,6.6327025
Leiden,,"Leiden, Zoeterwoude, Zuid-Holland, Nederland",52.1518157,4.4811088666204295
Leipzig,16.0,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329
Leiria,,"Leiria, Centro, Portugal",39.7437902,-8.8071119
