"idn","year"
1069951935,1753
1069951943,1753
"106995196X",1753
1069951986,1753
1069951994,1753
1069952028,1753
1069952052,1753
1069952095,1753
1069952109,1753
1069952117,1753
1069952133,1753
"106995215X",1753
1069952168,1753
1069952192,1753
1069952206,1753
1069952249,1753
1069952257,1753
1069952265,1753
1069952273,1753
1069952281,1753
"106995229X",1753
"106995263X",1753
1069952974,1753
1069953032,1753
1069953075,1753
"106995313X",1753
1069955574,1753
1069955590,1753
1069955620,1753
1069955663,1753
1069955671,1753
1069955698,1753
1069955736,1753
1069955779,1753
1069955809,1753
1069955825,1753
1069955833,1753
1069955876,1753
1069955884,1753
1069955906,1753
1069955922,1753
1069955930,1753
1069955949,1753
1069955957,1753
"106995599X",1753
1069959782,1753
"106996008X",1753
"106996011X",1753
1069960160,1753
1069960195,1753
1069960217,1753
"106996025X",1753
1069960268,1753
1069960292,1753
1069960322,1753
1069960349,1753
1069960357,1753
1069960373,1753
1069960403,1753
1069960446,1753
1069960659,1753
1069960934,1753
1069960977,1753
1069961043,1753
1069961205,1753
1069961507,1753
1069962589,1753
1069965731,1753
1069965863,1753
1069965898,1753
1069965944,1753
1069966614,1753
1069966835,1753
1069966878,1753
1069967459,1753
1069967505,1753
1069968080,1753
1069968420,1753
1069968447,1753
"106996848X",1753
"106996851X",1753
1069968544,1753
1069968579,1753
1070018058,1753
1070018066,1753
1070018155,1753
1070018198,1753
1070018201,1753
"107001821X",1753
1070018244,1753
1070018260,1753
1070018511,1753
1070018627,1753
1070018635,1753
"107001866X",1753
1070018988,1753
1070018996,1753
1070019011,1753
1070019046,1753
1070019062,1753
1070019089,1753
1070019100,1753
1070019119,1753
1070019143,1753
1070019178,1753
1070020486,1753
1070020494,1753
1070020508,1753
1070020516,1753
1070020524,1753
1070020567,1753
1070020575,1753
1070020583,1753
1070020613,1753
1070020621,1753
1070020648,1753
1070020877,1753
1070020931,1753
1070021016,1753
1070021032,1753
1070023019,1753
1070023043,1753
1070023086,1753
1070023124,1753
1070023167,1753
1070023183,1753
1070023213,1753
"107002323X",1753
1070176117,1753
1070176141,1753
1070176168,1753
1070177164,1753
1070177261,1753
1070177334,1753
1070177385,1753
"107017744X",1753
1070177539,1753
"107017758X",1753
1070177628,1753
1070177849,1753
1070177989,1753
1070178055,1753
1070178543,1753
1070178586,1753
1070178624,1753
1070178705,1753
1070179698,1753
1070179701,1753
1070179736,1753
1070179744,1753
1070180076,1753
1070180130,1753
1070180157,1753
1070180203,1753
1070180238,1753
1070180262,1753
"107018067X",1753
1070180718,1753
1070226548,1753
1070226564,1753
1070226610,1753
1070226645,1753
1070226653,1753
1070226718,1753
1070226726,1753
1070226742,1753
1070226750,1753
1070226785,1753
1070230812,1753
1070230871,1753
1070231983,1753
1070232467,1753
1070232483,1753
1070233285,1753
1070233307,1753
1070233366,1753
1070233390,1753
1070233412,1753
1070233420,1753
1070264296,1753
1070264318,1753
1070264326,1753
1070264342,1753
1070264350,1753
1070264385,1753
1070264393,1753
1070264415,1753
1070264431,1753
"107026444X",1753
1070264466,1753
1070264474,1753
1070264490,1753
1070264504,1753
1070264520,1753
1070264539,1753
1070264555,1753
1070264563,1753
"107026458X",1753
1070264598,1753
"107026461X",1753
1070264628,1753
1070264636,1753
1070264644,1753
1070264652,1753
1070264660,1753
1070264679,1753
1070264687,1753
1070264695,1753
1070264709,1753
1070264717,1753
"107066250X",1753
1070662704,1753
1070662747,1753
1070662763,1753
1070662976,1753
1070662984,1753
1070663018,1753
1070663034,1753
1070663069,1753
1070663085,1753
1070663123,1753
1070663409,1753
1070663697,1753
1070663727,1753
1070663743,1753
1070663786,1753
1070663816,1753
1070663832,1753
1070663883,1753
1070663891,1753
1070663913,1753
1070663980,1753
1070664014,1753
1070664022,1753
1070664057,1753
1070664200,1753
1070664219,1753
1070677183,1753
1070677434,1753
1070677507,1753
1070677523,1753
1070677531,1753
1070677663,1753
1070677671,1753
"107067768X",1753
"107067771X",1753
1070677728,1753
1070677736,1753
1070677752,1753
1070677795,1753
1070677809,1753
1070677965,1753
"107067835X",1753
1070678384,1753
1070678767,1753
1070678775,1753
1070678805,1753
"107067883X",1753
1070678856,1753
1070679836,1753
1070679844,1753
1070679860,1753
1070679887,1753
1070679895,1753
1070768871,1753
1070769118,1753
1070769223,1753
1070769398,1753
1070769789,1753
1070769827,1753
1070769851,1753
1070770566,1753
1070770655,1753
1070770663,1753
1070795844,1753
1070796069,1753
1070796123,1753
"107079614X",1753
"107079676X",1753
1070796808,1753
1070796859,1753
1070796921,1753
1070797405,1753
1070797448,1753
1070797650,1753
1070803049,1753
1070803200,1753
1070803782,1753
1070803820,1753
1070803901,1753
1070804037,1753
1070805440,1753
"107080603X",1753
1070806080,1753
1070806471,1753
"107080648X",1753
1070942901,1753
1070942936,1753
1070942987,1753
1070943150,1753
1070943207,1753
1070943347,1753
"107094338X",1753
1070943436,1753
1070943460,1753
1072047853,1753
1072048663,1753
"107204871X",1753
1072049287,1753
1072050889,1753
1072051184,1753
1072193833,1753
1072193906,1753
1072193914,1753
1072193949,1753
"107219399X",1753
1072194031,1753
1072194120,1753
1072194198,1753
"107219421X",1753
1072194228,1753
1072194244,1753
1072194252,1753
1072194279,1753
1072194422,1753
1072195038,1753
1072195070,1753
1072195135,1753
1072195151,1753
1072195186,1753
1072195216,1753
1072195291,1753
1072195313,1753
1072195321,1753
"107219533X",1753
1072195356,1753
1072195364,1753
1072195380,1753
1072195909,1753
"107219595X",1753
1072196018,1753
1072196042,1753
1072196069,1753
1072196131,1753
1072196255,1753
1072196689,1753
1072196700,1753
1072196751,1753
"107219676X",1753
1072196786,1753
1072196794,1753
1072196816,1753
1072196832,1753
1072196840,1753
1072196867,1753
1072196875,1753
1072196905,1753
1072196956,1753
1072197006,1753
1072197022,1753
1072197030,1753
1072197049,1753
1072197065,1753
1072197073,1753
1072197103,1753
1072197111,1753
1072197146,1753
1072197154,1753
1072197170,1753
1072197189,1753
1072197197,1753
1072197227,1753
1072197243,1753
1072197251,1753
1072197944,1753
1072198053,1753
1072198061,1753
1072198096,1753
"107219810X",1753
1072198126,1753
1072198134,1753
1072198185,1753
1072198266,1753
1072198274,1753
1072198290,1753
1072198320,1753
1072198347,1753
1072198371,1753
1072198398,1753
1072198479,1753
1072198495,1753
1072198568,1753
1074967534,1753
1074967577,1753
1074967593,1753
1074967607,1753
1074967798,1753
1074967860,1753
1074967887,1753
1074967909,1753
1074967925,1753
1074967941,1753
1074967968,1753
1074967976,1753
1074967984,1753
"107496800X",1753
1074968018,1753
1074968026,1753
1074968042,1753
1074968050,1753
1074968085,1753
1074968107,1753
"107496814X",1753
1132615518,1753
"113264562X",1753
1132648939,1753
1133216749,1753
1133217710,1753
1133220193,1753
1133220584,1753
1133220851,1753
"113929895X",1753
1152554093,1753
1152636162,1753
1152636588,1753
1153850192,1753
1156211735,1753
361667272,1754
"57598564X",1754
1051087910,1754
1066768986,1754
1066780250,1754
1066940487,1754
1066942390,1754
1070663964,1754
1071032186,1754
1071032208,1754
1071032224,1754
1071032232,1754
1071032240,1754
1071032259,1754
1071032267,1754
1071032275,1754
1071032283,1754
1071032291,1754
1071032305,1754
1071032313,1754
1071032321,1754
1071032348,1754
1071032356,1754
1071032364,1754
1071032372,1754
1071032380,1754
1071032399,1754
1071424823,1754
1071424947,1754
"107142503X",1754
"107142601X",1754
1071426052,1754
1071426176,1754
1071426265,1754
"107143294X",1754
1071433032,1754
1071433091,1754
1071433156,1754
"107143327X",1754
1071433377,1754
1071433407,1754
"107143344X",1754
1071433520,1754
1071433601,1754
1071433652,1754
1071433717,1754
1071433741,1754
1071493523,1754
1071493582,1754
1071493655,1754
"107149368X",1754
1071493744,1754
1071493833,1754
"107149399X",1754
1071494090,1754
1071494228,1754
1071494325,1754
1071494511,1754
1071494635,1754
1071495291,1754
1071495356,1754
1071495402,1754
1071496670,1754
1071496719,1754
1071496743,1754
1071496794,1754
1071496867,1754
1071496891,1754
1071574469,1754
1071574639,1754
1071574701,1754
1071574736,1754
1071574779,1754
1071574868,1754
1071574965,1754
1071575023,1754
1071575082,1754
1071575163,1754
1071575244,1754
1071626868,1754
1071626930,1754
1071627023,1754
1071627104,1754
1071627171,1754
1071627244,1754
1071627287,1754
1071627368,1754
1071627619,1754
1071627686,1754
1071627783,1754
1071628631,1754
1071628763,1754
1071628801,1754
1071628844,1754
1071628976,1754
1071629018,1754
1071629069,1754
1071629077,1754
1071629123,1754
1071630334,1754
1071630423,1754
1071630466,1754
1071630490,1754
1071630555,1754
1071630784,1754
"107163089X",1754
1071631322,1754
1071631411,1754
1071631519,1754
1071631608,1754
1071682032,1754
1071682237,1754
1071682350,1754
1071682466,1754
1071682644,1754
1071682784,1754
1071686593,1754
1071686690,1754
1071686771,1754
1071686879,1754
"107168695X",1754
1071687026,1754
1071688014,1754
1071688103,1754
1071688154,1754
1071688219,1754
1071688251,1754
1071688332,1754
1071688413,1754
1071688499,1754
1071688553,1754
1071688707,1754
1071689118,1754
1071720341,1754
1071720775,1754
1071720805,1754
"107172083X",1754
1071720848,1754
1071720864,1754
1071720899,1754
1071720910,1754
1071720929,1754
"107172097X",1754
1071721003,1754
"107172102X",1754
1071721127,1754
1071721186,1754
1071721445,1754
1071721585,1754
1071721623,1754
1071721631,1754
1071721763,1754
"107172181X",1754
1071721828,1754
1071722050,1754
1071722131,1754
1071722573,1754
1071722581,1754
"107172259X",1754
1071722603,1754
1071723073,1754
"107172312X",1754
1071723170,1754
1071723219,1754
"107172326X",1754
1071723286,1754
1071723537,1754
1071723588,1754
1071724371,1754
1071724975,1754
1071725033,1754
1071725092,1754
1071725440,1754
1071733915,1754
1071734571,1754
1071734598,1754
1071734644,1754
1071735217,1754
1071735268,1754
1071736418,1754
1071736469,1754
1071737457,1754
"107173749X",1754
1071737546,1754
1071737597,1754
1071737708,1754
1071737732,1754
"107173783X",1754
1071737848,1754
1071737872,1754
1071737880,1754
1071737902,1754
1071737945,1754
"107173797X",1754
1071738070,1754
1071738127,1754
1071738593,1754
1071738674,1754
1071738712,1754
1071739115,1754
1071740849,1754
1071740865,1754
1071809091,1754
1071809288,1754
"107180930X",1754
1071809326,1754
1071809350,1754
1071809784,1754
1071809822,1754
1071809849,1754
"107180992X",1754
1071809954,1754
1071810014,1754
1071810030,1754
1071810073,1754
1071810103,1754
1071810146,1754
1071810154,1754
1071810170,1754
1071810200,1754
1071810227,1754
1071810243,1754
1071810286,1754
"107181057X",1754
1071810634,1754
1071810693,1754
1071810715,1754
1071810758,1754
1071810820,1754
1071811231,1754
1071811274,1754
1071811290,1754
1071811576,1754
1071811681,1754
1071811762,1754
1071819534,1754
1071819585,1754
"107181964X",1754
1071819674,1754
1071819704,1754
1071819828,1754
1071819879,1754
1071820044,1754
1071820079,1754
1071820567,1754
1071820583,1754
1071820648,1754
1071820702,1754
1071820745,1754
1071820818,1754
1071820877,1754
1071820931,1754
1071821083,1754
1071821172,1754
1071823167,1754
1071824104,1754
"107182418X",1754
1071824465,1754
"107182483X",1754
1071824902,1754
1071825003,1754
1071825771,1754
"107182581X",1754
1071825909,1754
1071826581,1754
1071826638,1754
1071826670,1754
1071827901,1754
1071833510,1754
1071833553,1754
"107183360X",1754
1071833669,1754
1071833766,1754
1071833855,1754
1071833960,1754
1071834061,1754
1071834134,1754
1071834193,1754
1071836595,1754
1071836757,1754
1071836870,1754
1071836900,1754
1071864971,1754
"107186601X",1754
1071866141,1754
1071866559,1754
1071866710,1754
1071867431,1754
1071867520,1754
"107186758X",1754
1071867644,1754
1071873032,1754
"107187327X",1754
1071873423,1754
1071873598,1754
1071873725,1754
"107187540X",1754
1071875493,1754
1071875744,1754
1071876384,1754
