id;ort;count;location;lat;lon
88;Zittau;34;Zittau, Görlitz, Sachsen, Deutschland;50.8959142;14.8064417
89;Paderborn;34;Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland;51.71895955;8.764869778177559
90;Krefeld;33;Krefeld, Nordrhein-Westfalen, Deutschland;51.3331205;6.5623343
91;Dessau;33;Dessau, Sachsen-Anhalt, 06844, Deutschland;51.8346801;12.2468705
92;Hildesheim;33;Hildesheim, Landkreis Hildesheim, Niedersachsen, Deutschland;52.1521636;9.9513046
93;Genf;32;Genève, Grand Genève, Genève, Schweiz/Suisse/Svizzera/Svizra;46.2017559;6.1466014
94;Rostock;32;Rostock, Mecklenburg-Vorpommern, Deutschland;54.0924445;12.1286127
95;Freiberg;31;Freiburg im Breisgau, Baden-Württemberg, Deutschland;47.9960901;7.8494005
96;Schwerin;30;Schwerin, Mecklenburg-Vorpommern, Deutschland;53.6288297;11.4148038
97;Linz;30;Linz, Oberösterreich, Österreich;48.3059078;14.286198
98;Halberstadt;30;Halberstadt, Landkreis Harz, Sachsen-Anhalt, Deutschland;51.8953514;11.0520563
99;Erlangen;29;Erlangen, Bayern, Deutschland;49.5981187;11.003645
100;Luzern;29;Luzern, Schweiz/Suisse/Svizzera/Svizra;47.0505452;8.3054682
101;Kristiania;29;Oslo, Norge;59.9133301;10.7389701
102;Winterthur;29;Winterthur, Bezirk Winterthur, Zürich, Schweiz/Suisse/Svizzera/Svizra;47.4991723;8.7291498
103;Wesel;28;Wesel, Kreis Wesel, Nordrhein-Westfalen, Deutschland;51.6576909;6.617087
104;Zagreb;28;Zagreb, Grad Zagreb, 10000, Hrvatska;45.8131847;15.9771774
105;Dresden-Altstadt;28;Dresden-Altstadt, A 4, Mobschatz, Dresden, Sachsen, 01156, Deutschland;51.0715337;13.6523555
106;Bromberg;28;Bydgoszcz, powiat bydgoski, województwo kujawsko-pomorskie, Polska;53.12974625;18.029369658534854
107;Liegnitz;28;Legnica, gmina Kunice, powiat legnicki, województwo dolnośląskie, Polska;51.204768900000005;16.174675034638256
108;Nordhausen;28;Nordhausen, Landkreis Nordhausen, Thüringen, 99734, Deutschland;51.5051574;10.7925317
109;Elbing;28;Elbląg, powiat elbląski, województwo warmińsko-mazurskie, 82-300, Polska;54.1988997;19.44108568736702
110;Schleswig;28;Schleswig, Schleswig-Flensburg, Schleswig-Holstein, 24837, Deutschland;54.51851;9.5653284
111;Metz;27;Metz, Moselle, Grand Est, France métropolitaine, France;49.1196964;6.1763552
112;Stralsund;27;Stralsund, Vorpommern-Rügen, Mecklenburg-Vorpommern, Deutschland;54.3096314;13.0820846
113;Schaffhausen;27;Schaffhausen, Schweiz/Suisse/Svizzera/Svizra;47.6960491;8.634513
114;Naumburg (Saale);27;Naumburg (Saale), Burgenlandkreis, Sachsen-Anhalt, Deutschland;51.1525648;11.8099186
115;Plauen;27;Plauen, Vogtlandkreis, Sachsen, Deutschland;50.4950632;12.1346523
116;Charlottenburg;26;Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, Deutschland;52.515747;13.3096834
117;Lausanne;26;Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra;46.5218269;6.6327025
118;Bautzen;25;Bautzen - Budyšin, Bautzen, Sachsen, 02625, Deutschland;51.1813907;14.4275735
119;Schwäbisch Gmünd;25;Schwäbisch Gmünd, Verwaltungsgemeinschaft Schwäbisch Gmünd, Ostalbkreis, Baden-Württemberg, Deutschland;48.7999036;9.7977584
120;Landshut;25;Landshut, Bayern, Deutschland;48.536217;12.1516551
121;Pforzheim;25;Pforzheim, Baden-Württemberg, Deutschland;48.8908846;8.7029532
122;Den Haag;25;Den Haag, Zuid-Holland, Nederland;52.0799838;4.3113461
123;Kempten (Allgäu);25;Kempten (Allgäu), Bayern, Deutschland;47.7267063;10.3168835
124;Neisse;25;Nysa, gmina Nysa, powiat nyski, województwo opolskie, Polska;50.4738029;17.3324733
125;Oldenburg (Oldenburg);25;Öldenberg, Niederthalheim, Bezirk Vöcklabruck, Oberösterreich, 4692, Österreich;48.1090631;13.7146113
126;Głogów;25;Głogów, gmina Głogów, powiat głogowski, województwo dolnośląskie, 67-200, Polska;51.67019285;16.06140366346836
127;Mailand;24;Milano, Lombardia, Italia;45.4668;9.1905
128;Worms;24;Worms, Rheinland-Pfalz, Deutschland;49.6302618;8.3620898
129;Reval;24;Tallinn, Harju maakond, Eesti;59.4372155;24.7453688
130;Coburg;24;Coburg, Bayern, 96450, Deutschland;50.258112;10.964463
131;Olmütz;23;Olomouc, okres Olomouc, Olomoucký kraj, Střední Morava, Česko;49.5940567;17.251143
132;Turin;23;Torino, Piemonte, Italia;45.0677551;7.6824892
133;Hildburghausen;23;Hildburghausen, Landkreis Hildburghausen, Thüringen, Deutschland;50.4266785;10.7296992
134;Osnabrück;22;Osnabrück, Niedersachsen, Deutschland;52.266837;8.049741
135;Cottbus;22;Cottbus - Chóśebuz, Brandenburg, Deutschland;51.7567447;14.3357307
136;Neuruppin;22;Neuruppin, Ostprignitz-Ruppin, Brandenburg, Deutschland;52.9243859;12.8092919
137;Bielefeld;21;Bielefeld, Nordrhein-Westfalen, Deutschland;52.0191005;8.531007
138;Leipzig-Reudnitz;21;Reudnitz, Reudnitz-Thonberg, Südost, Leipzig, Sachsen, 04317, Deutschland;51.335919;12.3995116
139;Chur;21;Chur, Plessur, Graubünden/Grischun/Grigioni, Schweiz/Suisse/Svizzera/Svizra;46.855515;9.5254066
